QuadratID,Traffic,distance_m,english_ivy_cover,himalayan_blackberry_cover,mountain_ash_cover,english_laurel_cover,wall_lettuce_cover,english_holly_cover,other_cover,richness_non_native,dominant_tree_species,soil_moisture,canopy_cover,temperature,aspect
H1,High,0,,,,,,,,,,,,,
H2,High,25,,,,,,,,,,,,,
H3,High,50,,,,,,,,,,,,,
H4,High,75,,,,,,,,,,,,,
H5,High,100,,,,,,,,,,,,,
H6,High,125,,,,,,,,,,,,,
H7,High,150,,,,,,,,,,,,,
H8,High,175,,,,,,,,,,,,,
H9,High,200,,,,,,,,,,,,,
H10,High,225,,,,,,,,,,,,,
L1,Low,0,,,,,,,,,,,,,
L2,Low,25,,,,,,,,,,,,,
L3,Low,50,,,,,,,,,,,,,
L4,Low,75,,,,,,,,,,,,,
L5,Low,100,,,,,,,,,,,,,
L6,Low,125,,,,,,,,,,,,,
L7,Low,150,,,,,,,,,,,,,
L8,Low,175,,,,,,,,,,,,,
L9,Low,200,,,,,,,,,,,,,
L10,Low,225,,,,,,,,,,,,,
